energy,tempo,danceability,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,uri,track_id,track_name,instrumentalness,mode,key,duration_ms,acousticness,type,genre
0.698,143.994,0.726,-4.165,0.309,0.867,Bruno Mars,4,0.0431,89,spotify:track:3w3y8KPTfNeOKPiqUTakBh,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,0.0,1,5,233478,0.049,music,"pop,throwback"
0.661,173.372,0.429,-7.227,0.234,0.285,Coldplay,4,0.0281,89,spotify:track:3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,Yellow,0.000121,1,11,266773,0.00239,music,"pop,soft"
0.604,159.92,0.561,-4.409,0.104,0.242,Teddy Swims,3,0.0337,89,spotify:track:17phhZDn6oGtzMe56NuWvj,17phhZDn6oGtzMe56NuWvj,Lose Control,1.9e-05,1,9,210689,0.199,music,"pop,mainstream"
0.689,120.208,0.724,-7.174,0.0922,0.936,Tito Double P,3,0.0524,89,spotify:track:6X6m4xmdFcz31p1h7Qg68c,6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,6.77e-06,0,7,146141,0.573,music,"latin,modern"
0.64,84.828,0.264,-6.221,0.151,0.19,"The Weeknd, JENNIE, Lily-Rose Depp",4,0.0442,89,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",2.31e-06,1,8,244685,0.0393,music,"pop,global"
0.308,113.95,0.504,-14.958,0.158,0.121,Mitski,4,0.0321,88,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,0.135,1,9,137773,0.868,music,"ambient,academic"
0.757,139.982,0.742,-4.981,0.305,0.957,Chappell Roan,4,0.0421,88,spotify:track:4xdBrk0nFZaP54vvZj0yx7,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,0.0,1,6,184841,0.0187,music,"pop,mainstream"
0.586,107.071,0.669,-6.073,0.104,0.579,Sabrina Carpenter,4,0.054,88,spotify:track:5N3hjp1WNayUPZrA8kJmJP,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,0.0,1,9,186365,0.274,music,"pop,mainstream"
0.482,100.029,0.69,-6.335,0.0728,0.356,Fuerza Regida,4,0.2,88,spotify:track:5AH31dDNgxCMGDdxubNNn4,5AH31dDNgxCMGDdxubNNn4,NEL,0.0004,0,7,149074,0.523,music,"latin,modern"
0.812,80.09,0.505,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4,0.461,88,spotify:track:3tFed7YsjGnIfxeLEQwx3R,3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",0.0,1,1,255916,0.285,music,"pop,global"
0.472,101.061,0.898,-7.001,0.141,0.214,Kendrick Lamar,4,0.0776,88,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,0.0,1,1,274192,0.0107,music,"hip-hop,modern"
0.513,109.935,0.745,-9.116,0.216,0.929,"Tito Double P, Peso Pluma",3,0.087,88,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,0.0,1,1,154620,0.783,music,"pop,global"
0.56,134.066,0.853,-4.961,0.0944,0.86,Bruno Mars,4,0.0406,88,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,0.0,1,1,206693,0.013,music,"pop,global"
0.601,123.994,0.635,-6.129,0.11,0.332,Myles Smith,4,0.0295,88,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,0.0,0,1,172533,0.246,music,"gaming,modern"
0.757,142.579,0.482,-4.586,0.143,0.12,The Kid LAROI,4,0.0355,88,spotify:track:1XBYiRV30ykHw5f4wm6qEn,1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,0.0016,1,6,86984,0.0137,music,"pop,global"
0.864,105.143,0.556,-5.87,0.209,0.4,Linkin Park,4,0.0584,88,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,60a0Rd6pjrkxjPbaKzXjfq,In the End,0.0,0,3,216880,0.00958,music,"pop,global"
0.882,148.038,0.569,-2.777,0.142,0.201,"Travis Scott, Playboi Carti",4,0.06,88,spotify:track:42VsgItocQwOQC3XWZ8JNA,42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),0.0,0,3,191701,0.0316,music,"arabic,modern"
0.776,103.963,0.699,-5.282,0.205,0.708,Sabrina Carpenter,4,0.0293,88,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,2HRqTpkrJO5ggZyyK6NPWz,Espresso,5.36e-06,1,0,175459,0.131,music,"pop,global"
0.369,174.097,0.448,-9.514,0.638,0.0998,Lord Huron,3,0.0452,88,spotify:track:3hRV0jL3vUpRrcy398teAU,3hRV0jL3vUpRrcy398teAU,The Night We Met,0.272,1,9,208212,0.968,music,"pop,global"
0.561,150.069,0.669,-6.538,0.0954,0.841,Addison Rae,4,0.0411,88,spotify:track:6MzofobZt2dm0Kf1hTThFz,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,0.00962,1,10,169698,0.495,music,"pop,mainstream"
0.86,100.019,0.774,-2.888,0.116,0.446,"Feid, ATL Jacob",4,0.13,88,spotify:track:7bywjHOc0wSjGGbj04XbVi,7bywjHOc0wSjGGbj04XbVi,LUNA,0.0,0,7,196800,0.131,music,"latin,reggaeton"
0.555,96.063,0.392,-6.707,0.13,0.191,"Tyler, The Creator, Lola Young",3,0.039,87,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),0.000253,0,4,278015,0.287,music,"pop,global"
0.586,107.015,0.675,-6.086,0.104,0.621,Sabrina Carpenter,4,0.0531,87,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,0.0,1,9,186365,0.257,music,"pop,global"
0.627,150.273,0.336,-7.463,0.0708,0.35,Mariah Carey,4,0.0384,87,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,0.0,1,7,241107,0.164,music,"pop,global"
0.645,114.933,0.882,-7.233,0.057,0.788,Ndotz,4,0.0601,87,spotify:track:0io16MKpbeDIdYzmGpQaES,0io16MKpbeDIdYzmGpQaES,Embrace It,4.13e-05,1,1,104419,0.475,music,"pop,mainstream"
0.468,94.434,0.369,-9.013,0.109,0.18,Cigarettes After Sex,4,0.0273,87,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,0.566,1,5,290617,0.0205,music,"ambient,academic"
0.818,97.571,0.373,-3.19,0.434,0.361,"Tyler, The Creator, Teezo Touchdown",4,0.102,87,spotify:track:0VaeksJaXy5R1nvcTMh3Xk,0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)",0.0,0,3,253834,0.36,music,"hip-hop,chill"
0.499,99.986,0.791,-8.472,0.0899,0.669,"FloyyMenor, Cris Mj",4,0.0509,87,spotify:track:6XjDF6nds4DE2BBbagZol6,6XjDF6nds4DE2BBbagZol6,Gata Only,2.41e-05,0,8,222000,0.446,music,"latin,reggaeton"
