series_title,genres,author,sales_point,description,publisher,pub_date,cover_url,link,original_title,mood_kor,mood_eng
만화 인소의 법칙,드라마/성장,"아현 (지은이), 유한려 (원작)",1973,"지호의 부탁으로 한울 그룹 파티에 동행하게 된 단이. 난다 긴다 하는 재벌들이 모두 참여한 그곳에, 어쩐 일인지 아는 얼굴들이 전부 모여 있다. 친구들과 즐거운 시간을 보내고 귀가하던 단이와 여령은 뜻밖에도 손발이 묶인 채 낯선 곳에서 눈을 뜨게 되는데….",디앤씨웹툰비즈,2025-11-28,https://image.aladin.co.kr/product/37726/78/coversum/k862033268_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377267848,총 5권 포함 (대표작: 만화 인소의 법칙 8),밝고 화사한 로맨스,bright and pastel romance
새디스틱 뷰티,드라마/성장,"우연희 (지은이), 이금산 (그림)",1941,비밀스러운 취향을 가진 대학생 계린은 연극 동아리 ‘하하호호’에서 머리부터 발끝까지 자신의 이상형인 주연을 만난다. 하지만 겉모습과 달리 너무나 털털한 주연의 행동에 환상은 깨져만 가는데…. 과연 계린은 주연을 자신만의 주인님으로 만들 수 있을까?,봄툰,2025-09-01,https://image.aladin.co.kr/product/33779/89/coversum/k512930372_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337798928,총 3권 포함 (대표작: 새디스틱 뷰티 : 외전 A),따뜻하고 포근한 힐링,warm and cozy healing
앵무살수,드라마/성장,김성진 (지은이),1900,평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,종이향기(인성재단),2026-05-15,https://image.aladin.co.kr/product/39326/79/coversum/k032138237_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393267957,총 22권 포함 (대표작: 앵무살수 21),어둡고 거친 스릴러,dark and gritty thriller
송곳,드라마/성장,최규석 (지은이),1896,최규석의 역작 <송곳>이 완간된다. 외국계 대형 마트를 배경으로 부당해고에 대항하는 노동자들의 이야기를 통해 한국 노동자의 현실을 날카롭게 관찰한 <송곳>이 5부로 완결된다. 후반부에서는 한국 노동운동의 현실을 한층 심층적이고 현실적으로 포착하며 갈등이 심화된다.,창비,2017-11-20,https://image.aladin.co.kr/product/11380/17/coversum/8936474448_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=113801745,총 4권 포함 (대표작: 송곳 4),빈티지하고 고전적인 화풍,vintage and retro style
내 최애는 막차를 탄다,음악/스포츠,직씨 (지은이),1890,늘 퇴근길 막차에서 마주치는 사람. 악기를 들고 다니는 걸 보면 음악 전공일까? 아니면 인디 밴드? 여기서 마주친 것도 벌써 여러 번이지만 저 사람을 의식하는 건 나뿐이라 생각했다. 이런 건 인연도 뭣도 아닌 우연일 뿐이니까. 그런 줄 알았는데... “우리 여기서 몇 번인가 마주친 적 있죠? 늘 나를 보고 있었잖아요.” 내가 자신을 보고 있었다는 걸 알고 있다고?,네이버웹툰,2026-04-15,https://image.aladin.co.kr/product/38813/72/coversum/k152137083_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388137202,총 3권 포함 (대표작: 내 최애는 막차를 탄다 1~2 세트 - 전2권),밝고 화사한 로맨스,bright and pastel romance
산타 스카우트,드라마/성장,조현아 (지은이),1883,조현아 작가의 <산타 스카우트>가 크리스마스 시즌에 맞춰 스페셜 세트로 출간된다. 이번 스페셜 세트는단행본뿐만 아니라 소장 가치를 높여 줄 크리스마스 카드부터 대원증까지 그리고 이 모든 걸 담을 수 있는 북케이스로 구성되었다. 단행본 3권에는 특별 외전이 수록되어 있다.,네이버웹툰,2024-12-13,https://image.aladin.co.kr/product/35254/82/coversum/k352934143_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=352548202,총 2권 포함 (대표작: 산타 스카우트 1~3 스페셜 세트 - 전3권(완결) - 초판한정 조현아 작가 친필사인(인쇄본) + 외전(3권 수록) + 스티커 1종 + 크리스마스 카드 1종 + 산타 스카우트 대원증 3종 + 크리스마스 캠프 초대 티켓 1종 + 폴라로이드 1종 + 북케이스),화려하고 우아한 판타지,elegant and ornate fantasy
도토리 문화센터,"드라마/성장, 음악/스포츠",난다 (지은이),1880,"『어쿠스틱 라이프』 난다 작가의 첫 장편 연재작으로, ‘문화센터’라는 평범한 군상의 집합소를 무대로 휴먼 드라마를 선보이는 작품이다. 단행본 4권에서는 또다른 지분 소유자 송수지와 문화센터 마당발 남세미의 숨겨진 인연이 마무리된다.",문학동네,2026-05-06,https://image.aladin.co.kr/product/39223/24/coversum/k592138984_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392232445,총 4권 포함 (대표작: 도토리 문화센터 4),밝고 화사한 로맨스,bright and pastel romance
별을 사랑하여,드라마/성장,"나태주 (지은이), 소영 (그림)",1818,"햇솜처럼 따스하고 포근한 감성의 풀꽃 시인 나태주의 시에, 네이버웹툰 『오늘도 핸드메이드!』로 팬덤을 확보하며 인기를 끈 소영 작가가 보드라운 파스텔톤 그림 위에 감성적인 스토리를 입힌 만화시집이다.",더블북,2024-10-10,https://image.aladin.co.kr/product/34895/84/coversum/k372933151_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=348958459,총 1권 포함 (대표작: 별을 사랑하여 - 너에게 전하는 나의 사랑 이야기),밝고 화사한 로맨스,bright and pastel romance
Ho!,코미디/힐링,억수씨 (지은이),1724,전 국민의 일주일치 힐링을 책임진 웹툰 &lt;Ho!&gt;. 뜨거운 인기를 구가한 네이버 웹툰이다. 연재가 종료되자 베스트 댓글 창이 추가 연재 요청으로 가득 차는 등 많은 사랑을 받은 작품이다. 2015 ‘오늘의 우리 만화상’을 수상하는 영예도 안았다.,거북이북스,2015-10-15,https://image.aladin.co.kr/product/6809/28/coversum/896607118x_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=68092889,총 1권 포함 (대표작: Ho! 1~3 세트 - 전3권),역동적인 액션,dynamic and colorful action
그렇게 물거품이 되어도,드라마/성장,다홍 (지은이),1710,"인간과의 사랑으로 지느러미를 잃고 인간이 된 미아는 다시 인어로 되돌아가는 방법을 찾기 위해 여행을 떠난다. 그러던 어느 날, 미아는 괴물이 되어 버린 인어들과 마주치게 되는데….",에이템포미디어,2026-02-13,https://image.aladin.co.kr/product/38597/0/coversum/k142136372_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385970046,총 1권 포함 (대표작: 그렇게 물거품이 되어도 1 (한정판) - 포토카드(미아/초판 한정) + 폴라로이드 2종 + 엽서 3종 + 워터 키링 + 일러스트 보드 + 패키지박스),화려하고 우아한 판타지,elegant and ornate fantasy
오늘도 냠냠냠,코미디/힐링,"조경규 (지은이), 방현선 (사진)",1692,"&lt;오늘도 냠냠냠&gt; 2권에서는 서울과 경기의 ‘문득문득 생각나는 맛집’을 소개한다. 가족과 함께 때론 친구와 함께, 오랫동안 다녀 정이 든 장소와 음식을 즐기며 또 새로운 추억을 쌓는다. 좋은 식당은 좋은 추억이 되고, 그런 날이 쌓여 좋은 인생이 된다.",송송책방,2023-10-10,https://image.aladin.co.kr/product/31294/16/coversum/k262832673_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=312941603,총 3권 포함 (대표작: 오늘도 냠냠냠 2 - 서울.경기의 정겨운 맛집들),빈티지하고 고전적인 화풍,vintage and retro style
청춘계시록,드라마/성장,한서 (지은이),1690,"요한은 청아네 집에서 청아와 같이 동거를 하게 되고, 어느 날, 교복 세탁 도중 단수 및 녹물 문제가 발생하고 옆 동네 코인 세탁소를 가기로 한다. 의도치 않게 요한과 자전거 데이트를 하게 된 청아는 점점 요한에게 빠져들게 된다.",에이템포미디어,2025-01-13,https://image.aladin.co.kr/product/35550/72/coversum/k262036372_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=355507221,총 1권 포함 (대표작: 청춘계시록 2),따뜻하고 포근한 힐링,warm and cozy healing
어게인,음악/스포츠,강풀 (지은이),1679,"인간들의 욕망의 추악함과 ‘사람만이 희망이다’라는 메시지를 던지는 작품 &lt;어게인&gt;을 데뷔 10주년 기념 특별 애장판으로 새롭게 펴냈다. 곧 태어날 아기의 생명을 빼앗아 운명과 시간마저 거스르며 불사신이 되고자 하는 자들과, 이들을 막기 위해 삶과 죽음의 경계 앞에 몸을 던진 시간능력자들과의 숨 막히는 사투를 그리고 있다.",재미주의,2012-02-07,https://image.aladin.co.kr/product/1543/28/coversum/8901140918_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=15432844,총 1권 포함 (대표작: 어게인 1~3권 세트 - 전3권),빈티지하고 고전적인 화풍,vintage and retro style
미래의 골동품 가게,"공포/호러, SF/미래",구아진 (지은이),1657,"2022년 〈대한민국콘텐츠대상〉 만화 부문 대통령상 수상작. 남쪽 먼바다의 저주받은 땅 해말섬. 살아 있는 모든 것에 지독한 저주가 깊게 뿌리 내린 그곳에서, 기묘한 소녀 미래의 퇴마 이야기가 시작된다.",들녘,2025-03-31,https://image.aladin.co.kr/product/31495/49/coversum/k292832335_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=314954921,총 7권 포함 (대표작: 미래의 골동품 가게 1),화려하고 우아한 판타지,elegant and ornate fantasy
이번 생은 가주가 되겠습니다 1부,드라마/성장,"몬, 앤트스튜디오 (지은이), 김로아 (원작)",1624,"제국 제일가는 명문가 롬바르디가의 막내 손녀 ‘피렌티아’는 똑똑하고 능력 있지만 사생아로 태어났다는 이유로 친척들에게 온갖 수모를 당하고, 결국 가문에서 쫓겨나고 만다. 화가 나 술을 진탕 마신 어느 날, 피렌티아는 마차 사고를 당해 죽음을 맞이하는데….",디앤씨웹툰비즈,2024-05-30,https://image.aladin.co.kr/product/33060/18/coversum/k172937990_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330601823,총 4권 포함 (대표작: 이번 생은 가주가 되겠습니다 1부 4 - 만화),화려하고 우아한 판타지,elegant and ornate fantasy
이 결혼은 어차피 망하게 되어 있다,로맨스,"김차차 (원작), 청과 (그림), 초캄 (각색)",1555,"단둘이서만 숲으로 유람을 떠난 카셀과 이네스. 내기 사냥을 하고 서로에게 수확물을 선물로 주며 평온한 시간을 보낸다. 하지만 한밤중, 정체불명의 총성이 울려 퍼지고 이를 들은 카셀은 사냥터에 몰래 침입한 자들을 붙잡아 취조에 나선다.",영컴(YOUNG COM),2025-04-29,https://image.aladin.co.kr/product/36293/72/coversum/k932038147_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362937235,총 2권 포함 (대표작: 이 결혼은 어차피 망하게 되어 있다 6),화려하고 우아한 판타지,elegant and ornate fantasy
스피릿 핑거스,드라마/성장,한경찰 (지은이),1548,"평범한 여고생 ‘우연’이 자신의 개성과 꿈을 찾는 좌충우돌 성장 드라마를 그린 《스피릿 핑거스》단행본 1~3권의 세트로, 연재분 1화부터 41화까지 수록되었다. 소심하고 평범한 여고생 우연은 각자의 색깔대로 살아가는 스피릿 핑거스 회원들로부터 베블핑거로 사랑받으며 자신감을 차곡차곡 쌓아간다.",위즈덤하우스,2020-09-03,https://image.aladin.co.kr/product/10764/6/coversum/8960863327_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=107640607,총 3권 포함 (대표작: 스피릿 핑거스 1~3 세트 - 전3권),빈티지하고 고전적인 화풍,vintage and retro style
결혼 장사,로맨스,"KEN (원작), Antstudio (그림), 한흔 (각색)",1545,“내가 이렇게 겁이 많은 사내인지 처음 알았소. 그대의 용서를 받지 못할 게 두려워 죽지도 못하겠더군. 벌써 그대와 헤어지기엔 아르노에서 함께 보내지 못한 사계절이 너무 많더이다.” “이젠 셋이에요. 셋이 함께 보내요. 아르노의 사계절을.” &lt;결혼 장사&gt; 그 마지막 이야기.,대원씨아이(만화),2025-12-30,https://image.aladin.co.kr/product/38193/37/coversum/k412034607_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=381933786,"총 2권 포함 (대표작: 결혼 장사 8 - 완결, 만화)",화려하고 우아한 판타지,elegant and ornate fantasy
브릿지,드라마/성장,강풀 (지은이),1513,‘웹툰’이라는 새로운 문화의 창시자이자 해마다 장편만화를 발표하며 자신이 구축한 세계를 끊임없이 확장해가는 강풀의 열세 번째 장편만화 &lt;브릿지&gt; 전5권 세트이다. 2005년에 발표한 &lt;타이밍&gt;과 2015년에 발표한 &lt;무빙&gt;의 세계관을 연결하는 작품이다.,위즈덤하우스,2018-01-10,https://image.aladin.co.kr/product/12600/42/coversum/k562532873_3.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=126004233,총 1권 포함 (대표작: 브릿지 1~5 세트 - 전5권 - 강풀액션만화 시즌 2),화려하고 우아한 판타지,elegant and ornate fantasy
페이백,스릴러/범죄,"푸죠킹 (지은이), samk (원작)",1480,"유한은 제이와 함께하는 시간이 늘어날수록, 기억의 편린 속에 묻혀있던 한 사건을 떠올리게 된다. 기묘한 기시감에 의문을 품던 중, 그는 뜻밖에 송명신과 마주친다. 예기치 못한 만남 이후 터져나온 한 건의 스캔들. 드림 소속 간판 스타 차중우의 병역 비리 의혹과 함께, 그 사건에 유한의 매니저가 연루되었다는 소문이 순식간에 회사를 뒤흔들게 되는데….",봄툰,2026-04-23,https://image.aladin.co.kr/product/39164/90/coversum/k892138962_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391649024,총 3권 포함 (대표작: 페이백 6),따뜻하고 포근한 힐링,warm and cozy healing
양아치의 스피치,드라마/성장,"네온비 (글), 김인정 (그림)",1451,"말도 생각도 밈, 신조어, 비문으로 하는 온정 고등학교 2학년 1반 이솔. 코로나19로 인해 비대면 수업만 하던 어느 날, 미술관 현장 학습에서 마주친 2반 여학생 송이도에게 첫눈에 반해버린다. 솔은 자신의 훈훈한 외모를 믿고 냅다 고백! 이도는 한 가지 제안을 하는데….",문학동네,2023-01-31,https://image.aladin.co.kr/product/30961/7/coversum/8954690548_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=309610727,총 1권 포함 (대표작: 양아치의 스피치),따뜻하고 포근한 힐링,warm and cozy healing
청춘 블라썸,드라마/성장,"홍덕 (지은이), NEMONE (그림)",1428,재민은 하민이 남기고 간 노트를 소망에게 건넨다. 하민이 무슨 생각을 하고 있었을지 내내 궁금했지만 막상 진실을 엿보려니 마음이 무거운 소망은 하민에게 그날 무슨 일이 있었는지 알고 싶어한다. 재민은 어릴 적 기억을 떠올리며 말을 건네려다 문득 떠오른 기억에 괴로워하는데…,재담,2023-11-14,https://image.aladin.co.kr/product/30391/75/coversum/k322830063_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=303917570,총 7권 포함 (대표작: 청춘 블라썸 시즌2 : 6 - 완결),밝고 화사한 로맨스,bright and pastel romance
영원한 계약,드라마/성장,해진 (지은이),1385,"종교 국가 데르윈의 성기사 이안 글로스터는 추기경 헤론을 위해 대국 아르카이아와의 전쟁 소문을 조사하다 자신과 같은 힘을 가진 잭과 만나고 그에게 강하게 끌린다. 위기 상황에서 아르카이아인인 잭을 탈출시킨 후 사형을 겨우 면하고 추방당해 죽어가던 이안은 기적적으로 잭과 재회하지만, 그가 반인반용이자 아르카이아의 솔레아이트 윈클러 왕이라는 것을 알게 된다.",학산문화사(만화),2026-04-23,https://image.aladin.co.kr/product/39135/9/coversum/k482137651_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391350936,총 4권 포함 (대표작: 영원한 계약 5 (한정판) - 엽서 6종 세트 + 마그넷 박스 + 아크릴 북엔드),화려하고 우아한 판타지,elegant and ornate fantasy
스케치 The new canvas 풀,드라마/성장,도삭 (지은이),1370,"웹툰 플랫폼 ‘봄툰’에서 연재된 인기 웹툰 『스케치』, 그 세 번째 시즌 단행본의 완전판 ‘풀패키지’가 출간된다. 풀패키지에는 『스케치 The new canvas』 1-3권과 이경×주빈의 베스트 씬이 담긴 특별한 굿즈가 담겨 있다.",대원씨아이(만화),2025-12-30,https://image.aladin.co.kr/product/38204/23/coversum/k262034819_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382042319,"총 1권 포함 (대표작: 스케치 The new canvas 풀패키지 - 전3권 - 완결, 단행본 1~3권 + 틈새 북스탠드 + 명장면 바인더 아크릴 + 카메라 포토카드 홀더 + 미공개 일러스트 스페셜 포토카드 + 전용 굿즈 박스 + 별도 박스 포장)",밝고 화사한 로맨스,bright and pastel romance
죽음에 관하여 스페셜,드라마/성장,"시니 (지은이), 혀노 (그림)",1363,"수많은 독자에게 ‘추천하고 싶은 웹툰’, ‘인생 웹툰’으로 회자되는 웹툰《죽음에 관하여》가 스페셜 에디션으로 출간된다. 《죽음에 관하여》스페셜 에디션은 깔끔하게 재작업한 이미지와 재연재 에피소드가 추가되었으며 양장판으로 제작된다.",영컴(YOUNG COM),2021-11-30,https://image.aladin.co.kr/product/30027/8/coversum/k532838558_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300270868,총 3권 포함 (대표작: 죽음에 관하여 스페셜 에디션 1 (양장)),화려하고 우아한 판타지,elegant and ornate fantasy
총몇명 스토리,"스릴러/범죄, 코미디/힐링","윤종문 (지은이), 총몇명 (원작), 샌드박스 네트워크 (감수)",1358,"'총몇명 스토리'는 샌드박스 네트워크 소속의 인기 유튜버 '총몇명'의 오리지널 콘텐츠로, 민모리와 가족들 그리고 나천재를 둘러싸고 벌어지는 미스터리한 사건을 빠른 호흡의 연출로 긴장감 넘치게 전개한 다장르 애니메이션이다. 만화 총몇명 스토리는 원작 애니메이션을 만화책 형식에 맞추어 재구성한 책이다.",미래엔아이세움,2021-01-14,https://image.aladin.co.kr/product/22931/63/coversum/k842636044_2.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=229316381,총 3권 포함 (대표작: 총몇명 스토리 1),깔끔하고 현대적인 일상,minimalist and modern daily life
청사과 낙원,드라마/성장,청낙원 (지은이),1345,"2018년 10월, 처음 인사를 나누었던《청사과 낙원》이 2024년 4월, 세 번째 시즌의 마지막 화를 끝으로 막을 내렸다. 결코 짧지 않은 시간 동안 누구보다 가까운 곳에서, 누구보다 솔직하게 다정하고 따뜻한 이야기를 들려준 그들의 모습을 종이책으로 다시 한번 함께하고자 한다.",피크(PEAK),2024-10-30,https://image.aladin.co.kr/product/34849/19/coversum/k992933743_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=348491989,총 1권 포함 (대표작: 청사과 낙원 시즌 3 : 1~2 세트 - 전2권 (한정판) - 아크릴 스탠드 1종 + 미니 포스터 1종 + 포토카드 4종 + 폴라로이드 4종 + 투명 포토카드 2종 + 박스),밝고 화사한 로맨스,bright and pastel romance
나는 에이미를 사랑해,드라마/성장,언니 (지은이),1319,"정신적으로 불안정한 두 사람이 서로를 지탱할 수 있을지 의심이 든 에이미는 비비와의 관계 발전을 망설인다. 비비를 행복하게 해줄 자신이 없었지만, 언제까지고 기다려 줄 수 있다는 그녀의 말에 두려움으로 가득했던 에이미의 마음이 조금씩 움직이기 시작한다.",에이템포미디어,2025-06-30,https://image.aladin.co.kr/product/37038/31/coversum/k262030038_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370383183,총 2권 포함 (대표작: 나는 에이미를 사랑해 4),밝고 화사한 로맨스,bright and pastel romance
모죠의 일지,코미디/힐링,모죠 (지은이),1265,"MZ세대의 취향을 저격한 폭풍공감 일상 개그만화, ‘모죠의 일지’가 네이버웹툰 완결 기념으로 단행본 전 4권이 동시에 출간되었다. 첫 장을 펼치면 1권부터 4권까지 서로 다른 콘셉트에 과몰입한 모죠의 친필 사인 인쇄본이 담겨 있다.",위즈덤하우스,2021-09-29,https://image.aladin.co.kr/product/27942/25/coversum/s952936986_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279422574,총 2권 포함 (대표작: 모죠의 일지 1 - 내성적인 관종 모죠의 은밀한 비밀들),깔끔하고 현대적인 일상,minimalist and modern daily life
칼과 꽃,드라마/성장,Snob (지은이),1260,"늦더위와 함께, 희량과 연조의 평화로운 시간이 흘러간다. 좋은 걸 먹고, 재미있는 걸 하고, 아무 생각 없이 지낼 수 있는 날들. 그 아슬아슬한 평화는 사냥 대회를 기점으로 깨지고 만다. 연조가 희량을 죽이려 하였다는 사실이 밝혀지며 마침내 두 사람의 관계는 파국으로 치닫는데…!",레진코믹스(레진엔터테인먼트),2026-05-10,https://image.aladin.co.kr/product/39324/90/coversum/k862138239_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393249024,"총 1권 포함 (대표작: 칼과 꽃 6 - 초판 한정 부록: 띠지 포함, 포토카드 + 인화사진 각 1매(도서 내 삽지 후 랩핑))",화려하고 우아한 판타지,elegant and ornate fantasy
월요일의 구원자,드라마/성장,와글 (지은이),1248,"독특한 이름 때문에 월요일마다 괴롭힘을 당하던 ‘원요일’. 두려움을 견디고 복학한 고등학교에서, 까칠한 짝꿍 ‘구윤원’을 만난다. 요일에게 짓궂게 굴다가도 다가오기를 반복하던 윤원은, 어느 날 두 번째 동생이 되겠다며 각서를 들이민다. 그런데 이 동생, 어쩐지 수상하다…?!",봄툰,2026-03-03,https://image.aladin.co.kr/product/37788/58/coversum/k072033668_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377885897,총 2권 포함 (대표작: 월요일의 구원자 1),밝고 화사한 로맨스,bright and pastel romance
뷰티풀 군바리,드라마/성장,"설이 (지은이), 윤성원 (그림)",1245,"첫 면회를 나갔다가 몰래 남자친구를 만나러 샛길로 빠져 복귀 시간에 늦은 1소대 막내 주희린으로 인해 전 소대에 외출·면회 금지령이 떨어짐에 따라, 살벌한 분위기 속에서 내리갈굼이 이어져 마침내 막내 주희린도 기대마에 불려가 구타를 당하는데...",길찾기,2026-02-27,https://image.aladin.co.kr/product/38608/32/coversum/k512136673_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386083292,총 11권 포함 (대표작: 뷰티풀 군바리 11),따뜻하고 포근한 힐링,warm and cozy healing
순정만화,드라마/성장,강풀 (지은이),1242,"인터넷 만화가 1세대의 강풀을 국내 최고 작가의 반열에 올린 작품이다. 미디어 다음에 연재 되었던 2004년 당시 총 페이지뷰 3200만 명, 총 25만개 이상의 댓글, 1일 평균 페이지뷰 200만 명의 신드롬에 가까운 폭발적인 반응을 얻었으며, 그 동안 엽기 온라인 만화가로 알려진 강풀은 이 작품을 통해 국내 최고의 이야기꾼으로 인정받게 되었다.",재미주의,2011-08-01,https://image.aladin.co.kr/product/1289/1/coversum/8901127407_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=12890150,총 1권 포함 (대표작: 순정만화 1~2권 세트 - 전2권 - 강풀 순정만화 시즌Ⅰ),빈티지하고 고전적인 화풍,vintage and retro style
마녀,"로맨스, 스릴러/범죄",강풀 (지은이),1231,"우리 시대 최고의 이야기꾼, 강풀 작가의 『마녀』가 채널A 드라마 방영을 기념하여 새로운 모습으로 독자들을 찾아왔다. “미정이를 좋아하면 죽는대”라는 소문에 휩쓸려 세상으로부터 스스로를 단절한 여자 ‘미정’과 그녀를 둘러싼 불운의 법칙을 깨고자 하는 남자 ‘동진’이 서로의 구원자가 되어주는 미스터리 로맨스물이다.",재미주의,2025-02-12,https://image.aladin.co.kr/product/35785/10/coversum/k002036257_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=357851058,총 1권 포함 (대표작: 마녀 1~4 세트 - 전4권 (포스터 에디션)),밝고 화사한 로맨스,bright and pastel romance
여자 제갈량,"코미디/힐링, 드라마/성장",김달 (지은이),1226,‘삼국지의 난세를 쥐고 흔들었던 책사들이 실은 여자였다면?!” 이 발칙한 상상에서 시작돼 독자들에게 충격으로 다가왔던 화제의 그 성별반전 대하드라마... 레진코믹스 화제의 연재만화 &lt;여자 제갈량&gt;이 드디어 단행본으로 등장!,레진코믹스(레진엔터테인먼트),2015-07-01,https://image.aladin.co.kr/product/6595/8/coversum/k752433058_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=65950899,총 1권 포함 (대표작: 여자 제갈량 1),빈티지하고 고전적인 화풍,vintage and retro style
겨울성의 아기 죄수님,판타지,"heeya (지은이), 류희온 (원작)",1220,"매일 아침, 잃어버린 딸을 향한 그리움을 안고 수도원 예배당에서 기도를 올리는 커노 후작 부인. 그 깊은 슬픔에 클라리스가 조용히 위로를 건네자, 후작 부인은 오랫동안 소중히 간직해 온 작은 브로치를 그녀에게 선물한다. 클라리스가 공작어로 돌아온 순간 깊이 잠들어 있던 브로치가 밝은 빛과 함께 깨어나 누군가를 알아본 듯 반가움에 소리치는데...",디앤씨미디어(주)(D&C미디어),2026-05-27,https://image.aladin.co.kr/product/39299/98/coversum/k042138710_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392999807,총 3권 포함 (대표작: 겨울성의 아기 죄수님 5),밝고 화사한 로맨스,bright and pastel romance
토마토가 돼라!,"로맨스, 드라마/성장",뮤리 (지은이),1217,껄렁한 겉모습으로 인해 음험한 소문을 몰고 다니는 시골 토박이 전학생 신이석은 첫눈에 반한 전교 1등 수재 조해주의 앙큼한 비밀을 목격하게 되고. 그에 대한 의문은 점차 눈덩이처럼 불어나기만 한다. 겉만 번지르르 붉고 속은 흰 사과 같은 조해주에게 진성 토마토 신이석의 짝사랑 폭격이 시작된다.,다산코믹스,2026-03-20,https://image.aladin.co.kr/product/36298/1/coversum/k242038243_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362980197,총 6권 포함 (대표작: 토마토가 돼라! 1),밝고 화사한 로맨스,bright and pastel romance
호랑이형님,드라마/성장,이상규 (지은이),1215,"같은 기를 지닌 아이들을 회수하려던 계획이 어그러지자 이령은 모든 시들을 죽여 명을 거두려 한다. 시들의 명을 거두기 위해 추이와 시들이 싸우는 곳에 나타난 이령은 때마침 사자후를 날리려던 추이를 손쉽게 제압해 날려버리고, 익숙한 이령의 기에서 알 수 없는 위협을 느낀 추이는 흰 산의 영역으로 몸을 피한다.",영컴(YOUNG COM),2026-02-23,https://image.aladin.co.kr/product/38585/20/coversum/k292135350_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385852081,총 19권 포함 (대표작: 호랑이형님 18),역동적인 액션,dynamic and colorful action
바른연애 길잡이 외전,로맨스,남수 (지은이),1193,《바른연애 길잡이》주인공들의 2년 후의 모습은 어떨까? 152화로 완결을 맞이한 후 독자들이 궁금해 할 주연들의 모습이 외전으로 연재됐다.,영컴(YOUNG COM),2021-10-14,https://image.aladin.co.kr/product/28046/75/coversum/k372734438_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280467539,총 1권 포함 (대표작: 바른연애 길잡이 외전 + 북케이스 포함 세트),따뜻하고 포근한 힐링,warm and cozy healing
똑 닮은 딸,드라마/성장,이담 (지은이),1190,"""난 항상 긴장하면서 살아."" 학교에서 소명의 물건이 연이어 사라지고, 소명은 범인을 잡기 위해 건하에게 도움을 청한다. 범인에게 경고를 날리는 데 성공하면서 평화를 되찾지만, 여운의 제안으로 자율 동아리와 스터디를 함께 하면서 두 사람의 관계는 점점 틀어지기 시작하는데….",학산문화사(만화),2026-04-13,https://image.aladin.co.kr/product/39058/89/coversum/k122137645_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390588985,총 10권 포함 (대표작: 똑 닮은 딸 10),역동적인 액션,dynamic and colorful action
