series_title,genres,author,sales_point,description,publisher,pub_date,cover_url,link,original_title,mood_kor,mood_eng
화산귀환,드라마/성장,"STUDIO LICO (지은이), 비가 (원작)",4336,마화로 인해 사경을 헤매는 황 대인을 살리기(?) 위해 은하상단으로 간 청명. 그곳에서 종남파 이대 제자 이송백을 만나게 되는데….,에이템포미디어,2025-07-08,https://image.aladin.co.kr/product/32354/77/coversum/k822935365_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323547737,총 12권 포함 (대표작: 화산귀환 4 - 만화),역동적인 액션,dynamic and colorful action
영모단편선,드라마/성장,영모 (지은이),4330,"수려한 그림체와 달달한 감성으로 독자들의 마음을 사로잡은 영모 작가의 첫 단편선. 이번 단편선에는 〈SUMMER FEVER〉, 〈비로소 피어난〉, 〈옆집 소년〉, 〈여름 방학 전날〉까지 총 네 편의 작품이 수록되어 있다.",에이템포미디어,2026-06-29,https://image.aladin.co.kr/product/39256/27/coversum/k032138409_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392562760,총 1권 포함 (대표작: 영모단편선 한정판 - 초판한정 네컷엽서 + 증명사진 스티커 set + 포토카드 6종 + 미니 포스터 4종 + 마그네틱 북마크),빈티지하고 고전적인 화풍,vintage and retro style
친구 엄마,드라마/성장,"온점 (지은이), NARU (그림)",4185,상현의 치밀한 계획으로 온 천하에 죄상이 낱낱이 드러난 준범. 그러나 그는 반성은커녕 자신이 당한 수치를 되갚아주기 위해 상현을 미행하며 기회를 엿본다. 이때까지만 해도 준범은 전혀 알지 못했다. 뒤틀린 본성과 욕망을 좇던 행동의 결과가 결국 그 자신을 어디로 이끌지…,블루픽,2026-01-30,https://image.aladin.co.kr/product/38541/74/coversum/k712135430_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385417452,총 8권 포함 (대표작: 친구 엄마 8),밝고 화사한 로맨스,bright and pastel romance
작두,드라마/성장,"232(이삼이) (지은이), POGO (그림)",3900,"만 16세 생일, 용이 나타나는 기이한 꿈을 꾼 날. 용진에게 이상한 일들이 연이어 벌어진다. ‘희수’라는 아이가 갑자기 타로를 봐주겠다고 할 뿐만 아니라 자신이 용진의 여자친구라고 주장하고, 학교 복도에서는 검은 형체를 목격하는 등, 평소와는 다른 기묘한 일들이 계속된다. 심지어 희수는 늦은 밤 용진을 찾아와 섬뜩한 말을 내뱉는다.",영컴(YOUNG COM),2026-05-28,https://image.aladin.co.kr/product/39247/0/coversum/k782138200_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392470080,총 2권 포함 (대표작: 작두 1),역동적인 액션,dynamic and colorful action
매거진 조이 Vol.,드라마/성장,와난 (지은이),3854,네이버웹툰의 인기작 &lt;집이 없어&gt;의 모든 것을 한 권에 담아낸 책이다. 작품 정보와 등장인물 소개부터 원작의 감동을 그대로 옮겨 담은 명장면 다시 보기까지 그야말로 &lt;집이 없어&gt;에 관한 모든 것을 일목요연하게 보여준다.,다산코믹스,2024-11-01,https://image.aladin.co.kr/product/35009/51/coversum/k492934886_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=350095146,총 1권 포함 (대표작: 매거진 조이 Vol.1 : 집이 없어),따뜻하고 포근한 힐링,warm and cozy healing
이력서,드라마/성장,"유월 (지은이), 얼끼 (원작), 월구천 (그림)",3830,"탑툰 구독 수 1919만 이상을 자랑하는 웹툰 대히트작 &lt;이력서&gt; 전격 단행본화. 늘 무시당하던 주인공이 타인의 이력을 조작하고, 당사자가 그것을 사실로 믿게 하는 능력을 얻게 되면서 자신의 어둡고 은밀한 욕망을 마구 분출하는 과정을 적나라하게 그려낸 작품이다.",블루픽,2026-04-10,https://image.aladin.co.kr/product/38954/66/coversum/k932137216_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389546642,총 1권 포함 (대표작: 이력서 1),빈티지하고 고전적인 화풍,vintage and retro style
새내기,드라마/성장,"견자, 혁대 (지은이)",3582,"인범과 희은의 과거를 알게 된 은주의 심경은 복잡해지기 시작한다. 자초지종을 파악하고자 인범의 여자 친구 현아에게 접근하지만, 묘한 기류에 이끌린 두 사람은 그 어느 때보다 뜨거운 하룻밤을 보낸다. 그 여운이 채 가시기도 전에 마주한 인범. 희은에 대해 서슴없이 내뱉는 그의 추악한 발언은 은주 안의 정체 모를 분노를 깨우게 되는데...",블루픽,2026-03-10,https://image.aladin.co.kr/product/38771/15/coversum/k742137967_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387711522,총 3권 포함 (대표작: 새내기 3),밝고 화사한 로맨스,bright and pastel romance
연의 편지,드라마/성장,조현아 (지은이),3519,"주인공 소리는 이전 학교에서 겪은 학교 폭력의 후유증으로 새로운 학교에서도 겉돌고 있었으나, 어느 날 책상 안쪽에 붙어 있는 숨겨진 편지를 발견하며 모든 것이 바뀐다. 발신인 불명의 편지는 학교의 지름길, 반 친구들의 얼굴과 이름표, 선생님의 특징을 설명하며 소리가 새 학교에 빨리 적응하면 좋겠다고 응원해준다.",손봄북스,2025-10-01,https://image.aladin.co.kr/product/37172/16/coversum/k752031577_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371721695,총 1권 포함 (대표작: 연의 편지 (리커버 양장)),화려하고 우아한 판타지,elegant and ornate fantasy
이번 생은 가주가 되겠습니다 2부,드라마/성장,"몬, 앤트스튜디오 (지은이), 김로아 (원작)",3455,"제국 제일가는 명문가 롬바르디가의 막내 손녀 ‘피렌티아’. 그녀는 똑똑하고 능력 있지만 사생아로 태어났다는 이유로 친척들에게 온갖 수모를 당하고, 결국 가문에서 쫓겨나고 만다. 이후 피렌티아는 더 이상 가문 일에 참여할 수 없게 되는데….",디앤씨웹툰비즈,2026-03-25,https://image.aladin.co.kr/product/38885/43/coversum/k522137409_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388854376,총 7권 포함 (대표작: 이번 생은 가주가 되겠습니다 2부 5 - 만화),화려하고 우아한 판타지,elegant and ornate fantasy
양말 도깨비,"코미디/힐링, 음악/스포츠",만물상 (지은이),3381,"DAUM 만화속세상에서 연재 중인 인기 웹툰으로, 작가의 데뷔작이기도 하다. 자극적인 콘텐츠가 넘쳐나는 요즘, 순한 캐릭터들이 들려주는《양말도깨비》는 힐링이 무엇인지 제대로 느끼게 하는 착한 만화다.",재미주의,2015-12-29,https://image.aladin.co.kr/product/7296/8/coversum/8901205963_1.jpg,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=72960832,총 2권 포함 (대표작: 양말 도깨비 시즌 3),화려하고 우아한 판타지,elegant and ornate fantasy
