title,genres,overview,keywords,director,cast,runtime,popularity,vote_average,vote_count,release_date,poster_url,movie_id
극장판 체인소 맨:  레제편,"로맨스, 판타지","데블 헌터로 일하는 소년 ‘덴지’는 조직의 배신으로 죽음에 내몰린 순간 전기톱 악마견 ‘포치타’와의 계약으로 하나로 합쳐져 누구도 막을 수 없는 존재 ‘체인소 맨’으로 다시 태어난다. 악마와 사냥꾼, 그리고 정체불명의 적들이 얽힌 잔혹한 전쟁 속에서 ‘레제’라는 이름의 미스터리한 소녀가 ‘덴지’ 앞에 나타나는데… ‘덴지’는 사랑이라는 감정에 이끌려 지금껏 가장 위험한 배틀에 몸을 던진다!","manipulation, melancholy, gore, sequel, tragedy",요시하라 타츠야,"토야 키쿠노스케, 쿠스노키 토모리, 우에다 레이나",100,27.1249,8.362,867,2025-09-19,https://image.tmdb.org/t/p/w500/oTn0PoR8gSMpMqJaT2pUtkkN0Ia.jpg,1218925
모아나 2,"판타지, 액션",바다를 누볐던 선조들에게서 예기치 못한 부름을 받은 모아나가 마우이와 다시 만나 새로운 선원들과 함께 오랫동안 잊혀진 멀고 위험한 바다 너머로 떠나는 특별한 모험을 담은 이야기,"sea, ocean, villain, musical, sequel",David G. Derrick Jr.,"아울리이 크러발리오, 드웨인 존슨, Hualālai Chung",100,27.1188,7.0,3061,2024-11-21,https://image.tmdb.org/t/p/w500/hwmwTFtMbzxAWbIOp1RyyiOCyx0.jpg,1241982
듄,"액션, SF/미래","10191년, 아트레이데스 가문의 후계자인 폴은 시간과 공간을 초월해 과거와 미래를 모두 볼 수 있고, 더 나은 미래를 만들 유일한 구원자인 예지된 자의 운명을 타고났다. 그리고 어떤 계시처럼 매일 꿈에서 아라키스의 행성에 있는 한 여인을 만난다. 귀족들이 지지하는 아트레이데스 가문에 대한 황제의 질투는 폴과 그 일족들을 죽음이 기다리는 아라키스로 이끄는데...","empire, future, army, based on novel or book, prophecy",드니 빌뇌브,"티모시 샬라메, 레베카 퍼거슨, 오스카 아이작",155,27.1121,7.8,14864,2021-09-15,https://image.tmdb.org/t/p/w500/7zV8FTYofAORGm0Umgh1mNNCym8.jpg,438631
스파이더맨,"액션, SF/미래","평범하고 내성적인 고등학생 피터 파커는 우연히 방사능에 감염된 거미에 물린다.그 후, 피터는 손에서 거미줄이 튀어 나오고 벽을 기어 오를 수 있는 거미와 같은 능력을 갖게 된다. 다가오는 위험을 본능적으로 감지하는 초감각과 엄청난 파워를 소유하게 된 것이다. 피터는 짝사랑하던 메리 제인의 관심을 끌기 위해 멋진 스포츠카를 구입하는데 초능력을 처음 사용한다. 그러다 사랑하는 벤 아저씨의 죽음을 계기로 그 힘을 악의 세력에 대항하는데 쓰기로 결심한다. 한편 피터의 절친 해리 오스본의 아버지인 노만은 실험 도중 가스에 중독되어 악의 화신 그린 고블린으로 변하는데...","new york city, adolescence, photographer, loss of loved one, photography",샘 레이미,"토비 맥과이어, 윌렘 대포, 커스틴 던스트",121,27.0948,7.328,20628,2002-05-01,https://image.tmdb.org/t/p/w500/4xOhtzXGt0if74dTmS4qtizFelX.jpg,557
리턴 투 사일런트 힐,"스릴러/범죄, 공포/호러","침묵이 지배하는 안개 속 도시, 잃어버린 사랑을 찾기 위한 잔혹한 여정이 다시 시작된다. 기억 속에서 지워지지 않는 옛 연인 메리를 되찾기 위해 제임스는 정체 모를 편지에 이끌려 다시 사일런트 힐로 향한다. 하지만 그를 기다리고 있는 것은 낯익으면서도 낯선 공포, 그리고 기괴하게 뒤틀린 괴물들이 장악한 심연의 세계다. 안개 너머에 숨겨진 진실에 다가갈수록 제임스는 자신의 어두운 내면과 마주하게 되고, 현실과 악몽의 경계는 점점 무너지기 시작한다. 과연 그는 이 지옥 같은 도시에서 메리를 구해내고 무사히 탈출할 수 있을 것인가, 아니면 영원히 안개 속에 갇히게 될 것인가.","monster, wife, supernatural, letter, painter",크리스토프 갱스,"제레미 어바인, 해나 에밀리 앤더슨, Evie Templeton",106,26.8916,5.339,544,2026-01-21,https://image.tmdb.org/t/p/w500/lSzmchPGjy6gjLMCpousS3vQAjS.jpg,680493
미션 임파서블: 파이널 레코닝,"액션, 스릴러/범죄","디지털상의 모든 정보를 통제할 수 있는 사상 초유의 무기로 인해 전 세계 국가와 조직의 기능이 마비되고, 인류 전체가 위협받는 절체절명의 위기가 찾아온다. 이를 막을 수 있는 건 오직 존재 자체가 기밀인 에단 헌트와 그가 소속된 IMF뿐이다. 무기를 무력화하는 데 반드시 필요한 키를 손에 쥔 에단 헌트. 오랜 동료 루터와 벤지, 그리고 새로운 팀원이 된 그레이스, 파리, 드가와 함께 지금껏 경험했던 그 어떤 상대보다도 강력한 적에 맞서 모두의 운명을 건 불가능한 미션에 뛰어든다.","mask, artificial intelligence (a.i.), diving, submarine, espionage",크리스토퍼 맥쿼리,"톰 크루즈, 헤일리 앳웰, 빙 레임스",170,26.767,7.161,2791,2025-05-17,https://image.tmdb.org/t/p/w500/c5pDU8SW0ZbmO5jHfw7fX6keyyR.jpg,575265
목란: 혈인 -뮬란: 블러드 블레이드-,드라마/성장,"전역한 군인 목란은 고향으로 돌아와 부모가 살해되고 동생 목홍이 실종된 사실을 알게 된다. 진상을 추적하던 그녀는 위조 화폐와 관료들의 부패를 밝혀내지만, 지부 계세훈의 계략으로 누명을 쓰고 동생과 함께 체포된다. 진실을 깨달은 목란은 다시 갑옷을 입고 민중을 이끌어 반란을 일으키며, 결국 악인들을 처단하고 고향을 떠난다.",revenge,闞家偉,"楚瑷旭, Wei Wei, 왕강",98,26.7625,0.0,0,2026-05-11,https://image.tmdb.org/t/p/w500/9n0KWXmbnf2yJ3rPQLC1xuK52pk.jpg,1691129
씨너스: 죄인들,"액션, 스릴러/범죄","1932년, 시카고 갱단의 생활을 정리하고 고향 미시시피로 돌아온 쌍둥이 형제 스모크와 스택은 큰돈을 벌기 위해 술집 주크 조인트를 운영하기로 한다. 화려한 오프닝 파티가 열리는 밤, 천부적인 재능을 지닌 새미의 노래로 파티의 열기는 점점 뜨거워지고 초대하지 않은 불청객 일행이 찾아오는데…","chicago, illinois, capitalism, ku klux klan, musician, immortality",라이언 쿠글러,"마이클 B. 조던, 헤일리 스타인펠드, 마일스 캐튼",137,26.7297,7.489,4507,2025-04-16,https://image.tmdb.org/t/p/w500/qEipksU5SzHxbeZbE0cZQzEt6bD.jpg,1233413
그레이의 50가지 그림자,"로맨스, 스릴러/범죄","순수한 사회 초년생인 여대생 ‘아나스타샤’는 어느 날, 아픈 친구를 대신해 모든 것을 다 가진 매력적인 CEO ‘크리스찬 그레이’의 인터뷰를 맡게 된다. 단숨에 사람을 매료시키는 ‘크리스찬 그레이’의 마력에 ‘아나스타샤’는 순식간에 빠져들고, 그 역시 순수한 아나스타샤를 점점 더 알고 싶어지게 된다.  내 취향은 아주 분명해.  한편, 원하는 것을 모두 들어줄 만큼 완벽한 ‘그레이’의 숨겨진 비밀을 알게 된 ‘아나스타샤’는 거부할 수 없는 본능에 눈을 뜨게 되는데…","bad smell, based on novel or book, eroticism, perversion, spanking",샘 테일러존슨,"다코타 존슨, 제이미 도넌, 제니퍼 엘",125,26.6343,5.869,12369,2015-02-11,https://image.tmdb.org/t/p/w500/iQaLakvYBzpmdHUB2h6h2aVY5nE.jpg,216015
스래시: 상어의 습격,"스릴러/범죄, 공포/호러","치명적인 허리케인으로 폐허가 된 해안가 마을. 모두가 혼돈과 절망에 빠진 지금, 홍수로 인해 물에 잠긴 마을에 굶주린 상어떼의 습격이 시작된다.","hurricane, natural disaster, shark attack, survival horror, flood",Tommy Wirkola,"피비 디네버, 휘트니 피크, 자이먼 혼수",84,26.4949,6.003,580,2026-04-10,https://image.tmdb.org/t/p/w500/8HjP0vqOk1FIxoN96ciRnOcmGu4.jpg,1290417
