title,genres,overview,keywords,director,cast,runtime,popularity,vote_average,vote_count,release_date,poster_url,movie_id
파이트 클럽,"스릴러/범죄, 드라마/성장","자동차 회사의 리콜 심사관으로 일하는 주인공은 일상의 무료함과 공허함 속에서 늘 새로운 탈출을 꿈꾼다. 그는 비행기에서 자신을 비누 제조업자라고 소개하는 타일러 더든을 만난다. 집에 돌아온 주인공은 아파트가 누군가에 의해 폭파되었음을 발견하고, 타일러에게 도움을 청해 함께 생활하게 된다. 어느 날 밤 타일러는 주인공에게 자신을 때려달라고 부탁한다. 사람은 싸워봐야 진정한 자신을 알 수 있다는 것이다. 결국 이들은 매주 토요일 밤 술집 지하에서 맨주먹으로 격투를 벌이는 파이트 클럽을 결성하기에 이르는데...","dual identity, rage and hate, based on novel or book, nihilism, fight",데이비드 핀처,"에드워드 노튼, 브래드 피트, 헬레나 본햄 카터",139,28.5454,8.438,32011,1999-10-15,https://image.tmdb.org/t/p/w500/eKZ07Ted7VHxQjbuZrRBFOamcKJ.jpg,550
모탈 컴뱃 2,"판타지, 액션","아웃 월드의 황제인 샤오 칸(Shao Kahn: 브라이언 톰슨 분)은 아웃월드와 지구를 합병시켜서, 파멸시키려는 음모를 꾸민다. 모탈 컴뱃에서 류캉(Liu Kang: 로빈 쇼 분)과 선택된 파이터들이 이긴 후, '지구는 한 세대 동안 평화를 누려야한다'는 전 우주 세계의 이 신성한 규칙을 깨고, 샤오 칸은 아웃월드로부터 지구로 통하는 게이트를 열어 침략해온다. 이에 대항할 힘을 모으기 위해, 레이든(Rayden: 제임스 레마 분)은 류캉과 파이터들을 집합시킨다. 자신의 야욕을 채워줄 악의 파이터(인간이 아닌 무리들)들을 데리고 레이든 앞에 나타난 샤오 칸. 류캉은 샤오 칸에 맞서, 평화의 결정적인 열쇠를 가진 키타나 공주(Princess Kitana: 탈리사 소토 분)와 함께 그들의 소굴로 찾아간다. 그러나, 키타나 공주는 그들의 손에 빼앗기고 류캉은 그들의 함정에 걸려든다. 정신없이 일격을 가해 오는 샤오 칸 일당들은 마침내, 레이든을 죽이고 만다. 이에 분노한 파이터들은 류캉을 앞세우고, 6일 째의 마지막 전투에 임하게 된다. 키타나 공주는 샤오 칸의 일당으로 악의 화신이 되어 환생한 어머니와, 류캉은 샤오 칸과, 잭스(Jax: 린 레드 윌리암스 분)는 나이프울프(Nightwolf: 라이트풋 분)와, 소냐 블레이드(Sonya Blade: 산드라 헤스 분)는 몬타로(Motaro: 데론 맥비 분)와 각각 맞수가 되어, 목숨을 건 전투를 벌인다. 결국 샤오 칸은 신성한 규칙을 어긴 죄로 피를 흘리며 죽는 운명에 처하게 된다. 결국 지구는 악의 손길로부터 자유로워지고 신들로부터 다시 생명을 부여받은 레이든은 신의 자리에 오르게 된다.","martial arts, saving the world, magic, authority, transformation",John R. Leonetti,"로빈 쇼우, Talisa Soto, James Remar",95,28.5336,4.546,1334,1997-11-11,https://image.tmdb.org/t/p/w500/ttryglcY2osWZE3sRYBf3ewTZsW.jpg,9823
그린 마일,"판타지, 스릴러/범죄","미국 루이지애나의 콜드 마운틴 교도소. 폴은 사형수 감방의 간수장으로 일하고 있다. 그의 일은 사형수들을 감독하고, 그린 마일이라 불리는 초록색 복도를 거쳐 그들을 사형 집행장까지 안내하는 것. 폴은 그들이 죽음을 맞이하는 순간까지 평화롭게 지낼 수 있도록 최선을 다한다. 어느 날 존 커피라는 사형수가 이송되어 온다. 그는 쌍둥이 여자아이를 살해한 흉악범. 하지만 순진한 눈망울에 겁을 잔뜩 집어먹은 그의 모습에 폴은 당혹감을 느낀다. 게다가 그는 초자연적 능력으로 폴의 지병을 깨끗하게 치료해주기까지 한다. 존을 전기 의자로 데려가야 할 날이 다가오면서 폴은 그가 무죄라는 확신을 갖게 되는데...","mentally disabled, death penalty, based on novel or book, southern usa, psychopath",프랭크 다라본트,"톰 행크스, 데이비드 모스, 보니 헌트",189,27.9937,8.506,19236,1999-12-10,https://image.tmdb.org/t/p/w500/pk1TPODQVnI8GdLf0DhlJQYxWjd.jpg,497
와일드 로봇,"액션, SF/미래","우연한 사고로 거대한 야생에 불시착한 로봇 로즈는 주변 동물들의 행동을 배우며 낯선 환경 속에 적응해 가던 중, 사고로 세상에 홀로 남겨진 아기 기러기 브라이트빌의 보호자가 된다. 로즈는 입력되어 있지 않은 새로운 역할과 관계에 낯선 감정을 마주하고 겨울이 오기 전에 남쪽으로 떠나야 하는 브라이트빌을 위해 동물들의 도움을 받아 이주를 위한 생존 기술을 가르쳐준다. 그러나 선천적으로 몸집이 작은 브라이트빌은 짧은 비행도 힘겨워 하는데...","island, parent child relationship, robot, based on children's book, kindness",크리스 샌더스,"루피타 뇽오, 페드로 파스칼, 킷 코너",102,27.9143,8.308,6060,2024-09-12,https://image.tmdb.org/t/p/w500/iA9NiygwSOBy8FjZjvdYOMxRUG0.jpg,1184918
슈퍼맨,"액션, SF/미래","슈퍼맨은 오늘도 세계 곳곳의 위협에 맞서 싸우지만, 시민들의 반응은 극과 극으로 갈린다. 한편, 렉스 루터는 슈퍼맨을 무너뜨릴 비밀을 손에 넣고 역대 최강의 슈퍼-빌런들과 함께 총 공격에 나선다. 슈퍼맨은 첫 패배와 함께 이들의 계속된 공세에 직면하고 모든 것을 바로잡기 위해 슈퍼독 크립토와 함께 맞서게 되는데... 과연 그는 이 전례 없는 위기에서 다시 날아오를 수 있을까?","dual identity, superhero, based on comic, super power, reboot",제임스 건,"데이비드 코렌스웻, 레이첼 브로스나한, 니콜라스 홀트",130,27.6139,7.34,4756,2025-07-09,https://image.tmdb.org/t/p/w500/kCXGCEsDqjzWJVDyHgBUg0AMetT.jpg,1061474
"색, 계","로맨스, 액션","1938년 홍콩, 친일파의 핵심 인물이자 정보부 대장인 이(양조위)와 그를 암살하기 위해 막 부인으로 신분을 위장하고 접근하는 왕치아즈(탕웨이). 그녀의 임무는 자신의 신분을 위장하고 이의 아내(조안첸)에게 접근하여 신뢰를 쌓은 후 이에게 가까워 지는 것. 둘은 처음 본 순간부터 운명 같은 강렬한 이끌림을 느끼게 되지만 이의 상하이 발령으로 헤어지게 되고 암살 계획 또한 무산된다. 1941년 상하이, 다시 시작 된 암살계획으로 둘은 상하이에서 재회하게 된다. 경계를 푼 이, 그에게 다른 감정을 느끼는 왕치아즈. 이들은 서로에게 빠져들게 되는데...","secret love, china, sexual obsession, shanghai, china, cheating",이안,"양조위, 탕웨이, 조앤 첸",158,27.6032,7.269,800,2007-09-24,https://image.tmdb.org/t/p/w500/xd7dT3mh7cUk1rqDs7AaqJ5NZES.jpg,4588
대부 2,"스릴러/범죄, 드라마/성장","아버지의 장례식 도중에 맏아들 파올로가 총에 맞아 죽고, 비토(로버트 드니로)는 겨우 도망쳐 미국으로 건너온다. 대부로 성장한 후 비토는 다시 치치오를 찾아 복수를 한다. 새롭게 등장한 젊은 대부 마이클(알 파치노)은 본거지를 라스베가스로 옮기고 가족의 사업을 가능한 합법적인 것으로 바꾸려고 애쓴다. 그런 과중 중에 자신을 제거하려는 음모를 알게되고 그는 냉혹하고 신속하게 반대파들을 제거, 조직을 더욱 확대해 나간다. 이를 위해 마이클은 배신한 형마저 죽이고, 일 때문에 아내와 헤어지는 등 인간적으로는 계속 외로워져 가는데...","new year's eve, new york city, based on novel or book, italian american, cuba",프란시스 포드 코폴라,"알 파치노, 로버트 듀발, 다이앤 키튼",202,27.5324,8.571,13899,1974-12-20,https://image.tmdb.org/t/p/w500/35RGDgySfINL9V2e6lkDECQ0hRa.jpg,240
우리의 잘못,"로맨스, 드라마/성장","헤어진 후 오랫동안 기다려온 노아와 닉은 예나와 라이온의 결혼식에서 재회한다. 노아를 용서하지 못하는 닉의 마음은 넘을 수 없는 장벽처럼 단단하다. 할아버지의 사업을 물려받은 닉과 사회생활을 시작한 노아는 아직 꺼지지 않은 불꽃에 다시 불붙는 것을 애써 피하려 한다. 하지만 두 사람의 길이 다시 만난 지금, 사랑이 원망보다 더 강해질 수 있을까?","based on novel or book, sequel",도밍고 곤살레스,"니콜 월리스, 가브리엘 게바라, 가브리엘라 안드라다",110,27.3392,7.355,664,2025-10-15,https://image.tmdb.org/t/p/w500/yCbT1nKemh1AuQgdbns5Cf1RmRj.jpg,1156594
코렐라인: 비밀의 문,"판타지, 코미디/힐링","새로운 집으로 이사 온 열한 살 소녀 코렐라인은 모든 것이 낯설기만 하고, 늘 바쁜 부모님 때문에 외로운 날들을 보낸다. 호기심 많은 코렐라인은 홀로 집과 동네를 탐험하다 동네 소년 와이비와 개성 넘치는 이웃들을 만나게 된다. 그러던 어느 날, 집 안에 숨겨진 작은 비밀 문을 발견한 코렐라인은 문을 열고 어두운 통로를 지나 들어간다. 그곳은 현실과 꼭 닮았지만, 훨씬 더 완벽해 보이는 또 다른 세계였다. ‘다른 엄마’와 ‘다른 아빠’는 언제나 그녀를 따뜻하게 맞이하고, 신비로운 검은 고양이는 그림자처럼 곁을 맴돌며 호기심을 자극한다. 처음엔 꿈만 같은 낯선 세계였지만, 점점 그곳의 숨겨진 진실이 드러나기 시작하는데...","friendship, dreams, based on novel or book, eye, stuffed animal",헨리 셀릭,"다코타 패닝, 테리 해처, 제니퍼 손더스",101,27.2395,7.905,8945,2009-02-05,https://image.tmdb.org/t/p/w500/iGp4wBc0ZBVFd2HPicyDgl6Pn1r.jpg,14836
리얼 스틸,"액션, SF/미래","치열한 로봇 파이터들의 세계를 그려낸 블록버스터  로봇 파이터의 불가능한 도전이 시작된다!  2020년, 관중들의 뜨거운 열기로 가득 찬 복싱 경기장. 링 위에서 숨 막히는 승부를 펼치는 이들은 무려 900kg에 2m 50cm가 넘는 거대한 로봇 파이터들이다.  인간이 아닌 로봇 파이터들이 사각의 링을 지배하는 시대! 챔피언 타이틀 도전에 실패한 전직 복서 출신 찰리 켄튼(휴 잭맨)은 지하의 복싱 세계를 전전하며 삼류 프로모터로 살아가고 있다. 겨우 번 돈으로 구입한 고철 덩어리를 로봇 파이터로 만들어 지하의 복싱 세계를 벗어나 재기하려는 찰리는 어느 날 존재도 모르고 지낸 아들 맥스(다코다 고요)의 소식을 접하고 임시 보호를 맡게 된다. 어쩔 수 없이 한 팀이 된 그들은 맥스가 우연히 발견한 고철 로봇 ‘아톰’을 최고의 파이터로 키워내기 위한 훈련을 시작한다.  오직 승자와 패자만이 존재하는 무자비한 사각의 링 위, 이제 더 이상 물러날 곳이 없는 찰리와 맥스, 그리고 ‘아톰’의 불가능한 도전이 시작된다!","future, sports, parent child relationship, fight, robot",숀 레비,"휴 잭맨, Dakota Goyo, 에반젤린 릴리",127,27.2299,7.081,9106,2011-09-28,https://image.tmdb.org/t/p/w500/lbN080kn6nzq978jqsdgxci9llR.jpg,39254
