track_id,title,artist,genres,spotify_link,thumbnail_url
3TxLdamr68JMH4e3HPY4kO,Hon Tar Sej In,Peter Glyt,코미디/힐링,https://open.spotify.com/track/3TxLdamr68JMH4e3HPY4kO,https://i.scdn.co/image/ab67616d0000b273502060f3ab7e7fb1fe52b18d
2y8tntxRpORhl5PfnnGOAN,Into the Night,Maxwell Gendler,코미디/힐링,https://open.spotify.com/track/2y8tntxRpORhl5PfnnGOAN,https://i.scdn.co/image/ab67616d0000b273d7e808444366baadd6da2853
3o7zZKEZ2o7GM7BZj9M7rU,Late Night Girls,Deux Trois,코미디/힐링,https://open.spotify.com/track/3o7zZKEZ2o7GM7BZj9M7rU,https://i.scdn.co/image/ab67616d0000b273b42cb77e9350ed4a50598880
69B7zL5GC92nSLI7rd2qtB,Defenses,The Pinklets,코미디/힐링,https://open.spotify.com/track/69B7zL5GC92nSLI7rd2qtB,https://i.scdn.co/image/ab67616d0000b27302263b84bba4644523478c32
6doSp9Xoh2i3mdQ3QyHocs,"묘해, 너와",Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/6doSp9Xoh2i3mdQ3QyHocs,https://i.scdn.co/image/ab67616d0000b273b2ec2d066c8b7bcf4198b828
7KpXmNwMOLmyIDeMb70fHI,너무 보고싶어,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/7KpXmNwMOLmyIDeMb70fHI,https://i.scdn.co/image/ab67616d0000b2735ff49fe94776c75e6f917144
6nhr8JRfbqowTnf7p7Ysv2,"그대와 나, 설레임 (Feat. 소울맨)",Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/6nhr8JRfbqowTnf7p7Ysv2,https://i.scdn.co/image/ab67616d0000b2734a4aa1612c299f28fc05ffce
6DY06u5rPyHKQQoxz3YHbP,What was that,ACOURVE,코미디/힐링,https://open.spotify.com/track/6DY06u5rPyHKQQoxz3YHbP,https://i.scdn.co/image/ab67616d0000b27357a24c86f37bc7f0c0968db6
7jhpmwo16vZACZmeCq1ASL,너를 잊을 수 있을까,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/7jhpmwo16vZACZmeCq1ASL,https://i.scdn.co/image/ab67616d0000b273bba585e319a3ccb1956611a9
56yQ1udY5C9lpOUDrhBpdM,제발,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/56yQ1udY5C9lpOUDrhBpdM,https://i.scdn.co/image/ab67616d0000b273be12d10e64314c81ac043df3
5W3lvWmHjCUrjlV31qerZ3,The Privileged (Original Soundtrack) '그러지마요',Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/5W3lvWmHjCUrjlV31qerZ3,https://i.scdn.co/image/ab67616d0000b2732f6ed6972616473074b4c034
4door6xOPf2auseb5Foc9f,What I want to say,ACOURVE,코미디/힐링,https://open.spotify.com/track/4door6xOPf2auseb5Foc9f,https://i.scdn.co/image/ab67616d0000b2738f01e7396c226bde1d57de5e
12HUjLMjjpI6UijPzhnNon,Think about you,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/12HUjLMjjpI6UijPzhnNon,https://i.scdn.co/image/ab67616d0000b2731dea67cd057af21ac6ea9092
0e0GPnDLiJ7Trx5V04Qe5Z,I’ll let you go,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/0e0GPnDLiJ7Trx5V04Qe5Z,https://i.scdn.co/image/ab67616d0000b2731dea67cd057af21ac6ea9092
7oh8Z0Z0Sl5gcw3iry3NH2,Last Carnival,Acoustic Cafe,코미디/힐링,https://open.spotify.com/track/7oh8Z0Z0Sl5gcw3iry3NH2,https://i.scdn.co/image/ab67616d0000b273102f7f09235c5d711f7455eb
4UGJniMODa7K1bgS9Ht9bW,어떻게 해,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/4UGJniMODa7K1bgS9Ht9bW,https://i.scdn.co/image/ab67616d0000b273e585691dc7d2fc5d99585d2d
0W60OLHbRFQkz9I35BxXnG,Like a Movie,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/0W60OLHbRFQkz9I35BxXnG,https://i.scdn.co/image/ab67616d0000b273f931cda32d2e588411784486
4NwINyqTbMQur68HTKyh5i,한 여름 밤의 꿈,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/4NwINyqTbMQur68HTKyh5i,https://i.scdn.co/image/ab67616d0000b2734a4aa1612c299f28fc05ffce
16dmfifSIpyYgg53HFQvSk,"묘해, 너와 (Full Session)",Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/16dmfifSIpyYgg53HFQvSk,https://i.scdn.co/image/ab67616d0000b273b2ec2d066c8b7bcf4198b828
7tOSsgGrmKdwHI2qGDIjRi,Spring With You (feat. 20 Years of Age),Vanilla Acoustic,코미디/힐링,https://open.spotify.com/track/7tOSsgGrmKdwHI2qGDIjRi,https://i.scdn.co/image/ab67616d0000b27387ae88c0e8e5c36134ab980f
6RJxUbTYREFsRpvN9lXneP,Sometimes,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/6RJxUbTYREFsRpvN9lXneP,https://i.scdn.co/image/ab67616d0000b2731dea67cd057af21ac6ea9092
0uZ5OnCwvKTJPwNpEpi5wK,Good to be with You,Acoustic Collabo,코미디/힐링,https://open.spotify.com/track/0uZ5OnCwvKTJPwNpEpi5wK,https://i.scdn.co/image/ab67616d0000b2731dea67cd057af21ac6ea9092
7sCOwMK98Bc3f6hFS0jgkM,The night we parted,ACOURVE,코미디/힐링,https://open.spotify.com/track/7sCOwMK98Bc3f6hFS0jgkM,https://i.scdn.co/image/ab67616d0000b27379488538a910fa09013ddea3
